epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.9052,0.78345,1.74441,1.41664,1.10588,0.76593,0.45147,0.55984,0.42377,0.75539,0.44128,0.51929,0.35251,0.9798,3.33655,1.56654,1.02063,0.000663793,0.000663793,0.000663793
2,152.387,0.81471,1.62183,0.94558,1.10593,0.89176,0.51026,0.6017,0.47219,0.88977,0.50912,0.58993,0.45252,0.9533,1.95388,1.42163,1.02355,0.00132168,0.00132168,0.00132168
3,221.371,0.80035,1.58395,0.84717,1.10083,0.86175,0.56859,0.66386,0.46027,0.86056,0.56649,0.65459,0.43867,1.05589,1.89103,1.23778,1.12155,0.00197076,0.00197076,0.00197076
4,295.734,0.7805,1.56526,0.80555,1.08686,0.84719,0.60547,0.70525,0.56515,0.84655,0.60319,0.69704,0.54385,0.8554,1.59779,1.00886,0.93882,0.0019604,0.0019604,0.0019604
5,367.601,0.7423,1.46224,0.7468,1.06432,0.84787,0.63232,0.726,0.58402,0.85365,0.62519,0.71238,0.56316,0.79677,1.49585,0.91368,0.89293,0.0019472,0.0019472,0.0019472
6,443.095,0.72029,1.42237,0.72435,1.0612,0.85601,0.65073,0.73843,0.61737,0.86279,0.64595,0.73733,0.60544,0.70641,1.382,0.80165,0.795,0.001934,0.001934,0.001934
7,511.994,0.69104,1.38944,0.68181,1.04235,0.92178,0.56442,0.60758,0.52244,0.91598,0.55939,0.59813,0.46914,0.81561,1.59621,1.74912,0.87777,0.0019208,0.0019208,0.0019208
8,582.693,0.67954,1.35955,0.67221,1.03979,0.90541,0.5992,0.72098,0.60143,0.90541,0.5992,0.71661,0.57901,0.66374,1.33279,0.78177,0.7928,0.0019076,0.0019076,0.0019076
9,660.822,0.67115,1.28633,0.66661,1.03741,0.89698,0.60062,0.71359,0.59804,0.89868,0.60176,0.7131,0.58082,0.66883,1.32431,0.97935,0.78915,0.0018944,0.0018944,0.0018944
10,735.017,0.65261,1.31576,0.63494,1.02706,0.86362,0.64652,0.75124,0.62808,0.86047,0.64766,0.74379,0.60536,0.66572,1.24883,0.78464,0.78946,0.0018812,0.0018812,0.0018812
