                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95211,                 1.9382,                 1.5881,                 1.1003,                0.76368,                0.54846,                0.57518,                0.44053,                0.75892,                0.54504,                0.56449,                0.43979,                0.98501,                 1.6843,                 1.1243,                0.81511,             0.00066379,             0.00066379,             0.00066379
                      2,                0.85444,                 1.6202,                0.84087,                 1.0434,                 0.8985,                0.58609,                0.65349,                 0.5184,                0.88976,                0.58039,                0.64375,                0.50983,                0.93881,                 1.6567,                0.92901,                 0.9017,              0.0013217,              0.0013217,              0.0013217
                      3,                0.82954,                 1.5889,                0.77949,                 1.0463,                0.89453,                0.57542,                0.64879,                0.50711,                0.88719,                0.57868,                0.64264,                0.49823,                0.87613,                 1.5046,                0.96007,                 1.0829,              0.0019708,              0.0019708,              0.0019708
                      4,                0.79923,                 1.5606,                0.73457,                 1.0399,                0.92086,                0.56385,                0.64389,                0.52362,                0.91663,                0.56214,                 0.6249,                0.43382,                0.96396,                 1.6038,                 1.1099,                 1.2578,              0.0019604,              0.0019604,              0.0019604
                      5,                0.77173,                 1.4928,                0.68257,                 1.0265,                0.88941,                0.56499,                 0.6705,                0.53319,                0.85335,                0.58153,                0.66151,                0.51016,                0.84598,                 1.5331,                0.84817,                 1.1517,              0.0019472,              0.0019472,              0.0019472
                      6,                0.74945,                 1.4145,                0.66365,                  1.023,                0.93139,                0.56043,                 0.6697,                0.54646,                 0.9281,                0.55986,                0.65377,                0.52141,                0.72409,                 1.4718,                  0.727,                 1.1571,               0.001934,               0.001934,               0.001934
                      7,                0.71802,                  1.414,                0.62759,                 1.0131,                0.89258,                0.59749,                0.68674,                0.58152,                0.89128,                0.59825,                0.67755,                0.55564,                0.74324,                 1.3122,                0.69962,                 1.1661,              0.0019208,              0.0019208,              0.0019208
                      8,                0.70325,                 1.3672,                 0.6159,                 1.0126,                0.90123,                0.61973,                0.70477,                0.57124,                0.90056,                0.61446,                 0.6979,                0.55201,                0.73166,                 1.2619,                0.68923,                  1.164,              0.0019076,              0.0019076,              0.0019076
                      9,                0.68601,                 1.3174,                0.59554,                 1.0042,                 0.9227,                0.59407,                0.66899,                0.56224,                0.91863,                0.59179,                0.66355,                0.53199,                0.64816,                 1.3705,                0.71664,                 1.1255,              0.0018944,              0.0018944,              0.0018944
                     10,                0.68358,                 1.3391,                0.58703,                0.99892,                0.89562,                0.60169,                0.69557,                0.57704,                0.89222,                0.59941,                0.68885,                0.55571,                0.67064,                 1.2522,                0.62289,                 1.1161,              0.0018812,              0.0018812,              0.0018812
                     11,                0.66851,                 1.2646,                0.57559,                0.99487,                0.91242,                0.60319,                0.69333,                  0.576,                0.91328,                0.60376,                0.69214,                0.55095,                0.66821,                 1.2663,                0.71018,                 1.1345,               0.001868,               0.001868,               0.001868
                     12,                0.67008,                 1.3166,                0.57109,                 0.9977,                0.87345,                0.61973,                0.70378,                0.57605,                0.87556,                0.62178,                0.70011,                0.56242,                0.69875,                 1.2449,                 0.6566,                  1.144,              0.0018548,              0.0018548,              0.0018548
