                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6504,                 2.9056,                 3.3777,                0.18642,                0.07013,                0.12644,                0.05456,                 2.4094,                 2.7532,                 3.1466,             0.00066379,             0.00066379,             0.00066379
                      2,                  1.708,                 1.8884,                 2.2066,                0.86178,                0.53136,                0.56441,                0.38415,                 1.5138,                 1.5537,                 2.0307,              0.0013173,              0.0013173,              0.0013173
                      3,                 1.3842,                  1.479,                 1.8641,                0.84766,                0.52338,                 0.5665,                 0.4008,                 1.3136,                  1.456,                  1.649,              0.0019576,              0.0019576,              0.0019576
                      4,                 1.1933,                 1.2466,                 1.6673,                 0.8805,                 0.5335,                0.61565,                0.47376,                    1.1,                 1.4125,                 1.4305,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.0834,                 1.1358,                 1.5595,                0.84453,                0.53268,                0.59617,                0.43528,                 1.2948,                 1.4501,                  1.683,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.0131,                 1.0657,                 1.4921,                0.89329,                0.54447,                0.63937,                0.50841,                   1.01,                 1.1601,                 1.3261,               0.001901,               0.001901,               0.001901
                      7,                0.95366,                 1.0028,                 1.4407,                0.85381,                0.58609,                0.67304,                0.54594,                0.88796,                 1.0065,                 1.1852,              0.0018812,              0.0018812,              0.0018812
                      8,                0.91629,                0.96702,                 1.4144,                0.87515,                0.57982,                0.65848,                0.54108,                 0.8443,                 1.0944,                 1.1929,              0.0018614,              0.0018614,              0.0018614
                      9,                0.87131,                0.90958,                 1.3768,                0.88053,                 0.5707,                 0.6696,                0.54851,                0.81899,                 1.0429,                 1.1314,              0.0018416,              0.0018416,              0.0018416
                     10,                0.85482,                0.89359,                  1.359,                0.87823,                0.60718,                0.69734,                0.56099,                0.89385,                 1.1338,                 1.2034,              0.0018218,              0.0018218,              0.0018218
                     11,                 0.8212,                0.86494,                 1.3351,                0.85925,                0.61802,                0.70301,                0.58774,                0.78994,                0.90013,                 1.1006,               0.001802,               0.001802,               0.001802
                     12,                0.81968,                0.86178,                 1.3279,                0.84694,                0.61202,                0.68214,                0.56143,                0.77617,                 1.0008,                 1.0939,              0.0017822,              0.0017822,              0.0017822
                     13,                0.80931,                0.84666,                 1.3196,                0.93326,                   0.59,                0.69983,                0.57577,                0.77731,                0.94794,                 1.0688,              0.0017624,              0.0017624,              0.0017624
                     14,                0.80772,                0.83659,                 1.3064,                0.88258,                0.62999,                0.71294,                0.58667,                0.75156,                0.89745,                 1.0637,              0.0017426,              0.0017426,              0.0017426
                     15,                0.76873,                 0.7953,                  1.287,                0.88297,                0.64994,                0.74468,                0.61644,                0.70885,                0.83492,                 1.0082,              0.0017228,              0.0017228,              0.0017228
                     16,                0.75728,                0.79216,                 1.2699,                0.88309,                0.62013,                0.71874,                 0.5993,                0.72962,                0.86912,                 1.0178,               0.001703,               0.001703,               0.001703
                     17,                0.74737,                0.77462,                   1.26,                0.92602,                0.57868,                0.70351,                0.58078,                0.78144,                0.92028,                 1.0849,              0.0016832,              0.0016832,              0.0016832
                     18,                0.74308,                0.75846,                  1.258,                0.89701,                0.64367,                 0.7184,                0.60969,                0.67858,                0.94775,                0.97824,              0.0016634,              0.0016634,              0.0016634
                     19,                0.71967,                0.74667,                 1.2393,                0.86511,                0.64595,                0.73655,                0.62255,                0.69496,                0.81819,                0.98498,              0.0016436,              0.0016436,              0.0016436
                     20,                0.72802,                0.75095,                 1.2471,                0.86547,                0.64552,                0.74837,                0.61716,                0.71167,                0.86133,                 1.0285,              0.0016238,              0.0016238,              0.0016238
