                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96658,                 1.9375,                 1.4954,                 1.1441,                0.54023,                0.45553,                0.44755,                  0.322,                0.52492,                0.42303,                0.42344,                0.28491,                0.99549,                 1.9784,                 1.6881,                0.92159,             0.00066379,             0.00066379,             0.00066379
                      2,                0.93816,                 1.7812,                 1.0341,                 1.1132,                 0.8372,                0.52166,                0.63156,                0.48221,                0.83656,                0.52223,                 0.6217,                  0.455,                 1.0425,                   1.92,                 1.0889,                0.92464,              0.0011987,              0.0011987,              0.0011987
                      3,                0.90799,                 1.6767,                0.92105,                 1.0923,                 0.8825,                0.54219,                0.64972,                0.53452,                0.88384,                0.53792,                0.63712,                0.50738,                0.76666,                 1.6527,                0.90531,                0.76948,              0.0016017,              0.0016017,              0.0016017
                      4,                0.86718,                 1.5842,                0.84932,                 1.0781,                0.88177,                0.56978,                0.68505,                0.54205,                0.88001,                0.56864,                0.67965,                0.52975,                0.86837,                  1.537,                0.86738,                0.81103,               0.001406,               0.001406,               0.001406
                      5,                0.80586,                 1.4964,                0.77011,                 1.0506,                0.90371,                0.59977,                0.70711,                0.61402,                 0.9001,                 0.5992,                0.69924,                0.58013,                0.69182,                 1.3214,                0.72889,                0.73633,               0.001208,               0.001208,               0.001208
                      6,                0.74844,                 1.3936,                0.72179,                 1.0252,                0.88814,                 0.6431,                0.74742,                0.63068,                 0.8879,                0.63672,                0.73668,                 0.5769,                0.79835,                 1.3579,                0.72465,                0.78411,                0.00101,                0.00101,                0.00101
                      7,                0.70997,                 1.3028,                0.66797,                 1.0115,                0.92546,                 0.6371,                0.76286,                0.64119,                0.91828,                0.64064,                0.75974,                 0.6215,                 0.6598,                  1.137,                0.67289,                0.71955,               0.000812,               0.000812,               0.000812
                      8,                0.66412,                 1.2595,                0.61788,                0.98996,                0.89301,                0.65678,                0.76189,                 0.6476,                0.89421,                 0.6554,                0.75133,                0.61436,                0.60909,                 1.1797,                0.62691,                0.70499,               0.000614,               0.000614,               0.000614
                      9,                0.62417,                 1.1968,                0.58406,                0.97723,                0.90486,                0.68862,                0.78247,                0.67362,                0.89961,                0.68463,                0.77775,                0.64056,                0.56995,                 1.0663,                0.55715,                0.67318,               0.000416,               0.000416,               0.000416
                     10,                0.59258,                 1.1366,                0.54971,                0.96962,                0.88604,                0.69498,                 0.7907,                0.68288,                0.88459,                0.69384,                0.78212,                0.65183,                0.55252,                 1.0111,                0.53255,                0.66446,               0.000218,               0.000218,               0.000218
