                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6504,                 2.9056,                 3.3777,                0.18642,                0.07013,                0.12644,                0.05456,                 2.4094,                 2.7532,                 3.1466,             0.00066379,             0.00066379,             0.00066379
                      2,                 1.7053,                  1.891,                  2.205,                0.72844,                    0.5,                0.50627,                 0.3572,                 1.5138,                 1.7163,                 1.9005,              0.0012778,              0.0012778,              0.0012778
                      3,                 1.3738,                 1.4794,                 1.8515,                0.85596,                0.52509,                 0.5613,                0.42973,                  1.247,                 1.6077,                 1.5841,               0.001839,               0.001839,               0.001839
                      4,                 1.1829,                 1.2465,                 1.6572,                0.87679,                0.52566,                0.58071,                 0.4397,                 1.1851,                 1.8081,                 1.5114,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.0669,                 1.1204,                 1.5443,                0.90105,                0.53079,                0.62019,                0.48524,                 1.1415,                 1.3062,                 1.4707,              0.0016832,              0.0016832,              0.0016832
                      6,                0.99969,                 1.0528,                  1.482,                0.89933,                0.53989,                0.63333,                0.49906,                0.99247,                 1.2203,                   1.31,               0.001604,               0.001604,               0.001604
                      7,                0.94427,                0.99115,                 1.4315,                0.90578,                0.54219,                0.64475,                0.53027,                0.93578,                 1.0746,                 1.2595,              0.0015248,              0.0015248,              0.0015248
                      8,                0.89867,                0.93834,                 1.3982,                0.86157,                0.59612,                0.65821,                0.55253,                0.85984,                  1.087,                 1.1599,              0.0014456,              0.0014456,              0.0014456
                      9,                0.87015,                0.90828,                 1.3733,                0.93576,                0.55131,                0.67672,                0.55503,                0.84794,                 1.0782,                 1.1539,              0.0013664,              0.0013664,              0.0013664
                     10,                0.83277,                0.87291,                 1.3436,                0.90122,                0.60336,                0.68012,                0.56722,                0.81812,                  1.082,                 1.1343,              0.0012872,              0.0012872,              0.0012872
                     11,                0.81035,                0.84307,                 1.3232,                0.86361,                0.62258,                0.70039,                0.57788,                0.78904,                0.93353,                 1.1099,               0.001208,               0.001208,               0.001208
                     12,                0.79575,                0.83002,                 1.3119,                0.87949,                0.62999,                0.70311,                0.58492,                0.75259,                0.94838,                 1.0506,              0.0011288,              0.0011288,              0.0011288
                     13,                0.78254,                0.81423,                 1.2976,                0.87315,                0.63179,                0.70994,                0.59312,                0.72903,                0.88216,                 1.0306,              0.0010496,              0.0010496,              0.0010496
                     14,                0.76104,                0.79437,                 1.2742,                0.90403,                 0.6317,                0.71937,                0.60982,                0.72147,                0.83128,                 1.0414,              0.0009704,              0.0009704,              0.0009704
                     15,                0.74056,                0.75697,                 1.2649,                0.88756,                0.64481,                0.73643,                0.61429,                0.71473,                0.83549,                 1.0214,              0.0008912,              0.0008912,              0.0008912
                     16,                0.82069,                0.87977,                 1.3115,                0.84921,                 0.6486,                0.74025,                0.60686,                0.75882,                 0.7925,                 1.0494,               0.000812,               0.000812,               0.000812
                     17,                0.77953,                 0.8228,                 1.2691,                0.91244,                0.62385,                0.75351,                0.63695,                0.67772,                0.73464,                0.96367,              0.0007328,              0.0007328,              0.0007328
                     18,                 0.7752,                0.80116,                 1.2719,                0.87521,                 0.6431,                0.75988,                0.63954,                0.69771,                 0.7362,                0.98857,              0.0006536,              0.0006536,              0.0006536
                     19,                0.74119,                0.76777,                 1.2445,                 0.8885,                 0.6642,                0.76793,                0.65048,                0.67748,                0.70329,                0.96221,              0.0005744,              0.0005744,              0.0005744
                     20,                0.71512,                0.74177,                 1.2248,                0.88692,                0.67972,                0.78157,                0.66342,                0.65785,                0.71568,                0.94932,              0.0004952,              0.0004952,              0.0004952
                     21,                0.69637,                0.71496,                 1.2133,                0.88799,                0.68472,                0.78852,                0.67719,                0.61852,                0.66608,                0.92395,               0.000416,               0.000416,               0.000416
                     22,                0.69059,                0.69953,                 1.1985,                0.90494,                0.68383,                0.78821,                0.67594,                0.62167,                0.66589,                0.91225,              0.0003368,              0.0003368,              0.0003368
                     23,                 0.6714,                0.68138,                 1.1832,                0.90127,                0.68176,                0.79039,                0.67949,                0.60943,                0.67199,                0.90366,              0.0002576,              0.0002576,              0.0002576
                     24,                0.64654,                0.65565,                 1.1738,                0.91271,                 0.6915,                0.79984,                0.68981,                0.59892,                0.62759,                0.89032,              0.0001784,              0.0001784,              0.0001784
                     25,                0.63387,                0.63951,                 1.1628,                0.90846,                 0.7016,                0.80691,                 0.6948,                0.58946,                0.61188,                0.88536,               9.92e-05,               9.92e-05,               9.92e-05
