                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77313,                 1.7191,                  1.366,                 1.1527,                0.88205,                0.57241,                  0.674,                0.52929,                0.88117,                0.57184,                0.66526,                0.52571,                0.90131,                 1.7546,                 1.2908,                 1.0966,             0.00066379,             0.00066379,             0.00066379
                      2,                0.78961,                 1.5974,                0.96961,                 1.1475,                0.77176,                0.45325,                0.53163,                0.40637,                0.76899,                0.44584,                0.51051,                0.35678,                 1.0913,                 2.3586,                 1.9974,                 1.2042,              0.0013173,              0.0013173,              0.0013173
                      3,                0.78909,                  1.554,                0.86834,                 1.1506,                0.89768,                0.54018,                0.64961,                0.49762,                0.89199,                0.53676,                0.63467,                0.46523,                 0.9752,                 1.9536,                 1.3256,                 1.1908,              0.0019576,              0.0019576,              0.0019576
                      4,                0.75978,                 1.5612,                0.81352,                 1.1307,                0.84391,                  0.598,                0.68565,                0.54292,                0.89586,                0.57526,                0.67582,                0.51819,                0.94197,                 1.7193,                 1.0821,                 1.2115,              0.0019406,              0.0019406,              0.0019406
                      5,                0.72077,                 1.4486,                 0.7564,                 1.1074,                0.80447,                0.63854,                0.69899,                0.54308,                 0.8108,                0.62543,                0.69081,                0.53774,                0.96344,                 1.5598,                 1.1783,                  1.134,              0.0019208,              0.0019208,              0.0019208
                      6,                0.71681,                 1.3901,                0.74791,                 1.1071,                0.84952,                0.63728,                0.74147,                0.60257,                0.84467,                0.63854,                0.73078,                0.58463,                0.75448,                 1.4824,                 0.8213,                0.96349,               0.001901,               0.001901,               0.001901
                      7,                0.68732,                 1.3581,                 0.7151,                  1.086,                0.90295,                0.61529,                0.73889,                0.61603,                0.89542,                0.61506,                0.72946,                0.59153,                0.74525,                 1.3275,                0.81318,                0.96172,              0.0018812,              0.0018812,              0.0018812
                      8,                0.67057,                 1.3493,                0.68351,                 1.0824,                0.86071,                0.65735,                0.75035,                  0.627,                0.86073,                0.66135,                0.74652,                0.60199,                0.71748,                 1.2723,                0.82247,                0.93241,              0.0018614,              0.0018614,              0.0018614
                      9,                0.65184,                 1.2413,                0.66695,                 1.0699,                 0.9358,                0.60091,                0.68975,                0.58813,                0.93421,                0.60205,                0.68886,                0.57794,                0.69548,                 1.2903,                 1.2817,                0.91184,              0.0018416,              0.0018416,              0.0018416
                     10,                0.63425,                 1.2814,                0.64429,                 1.0599,                0.86841,                0.66593,                0.77454,                0.64985,                 0.8702,                 0.6642,                0.76531,                0.62834,                0.70649,                 1.1742,                0.79735,                0.92242,              0.0018218,              0.0018218,              0.0018218
                     11,                0.62214,                 1.2126,                0.63941,                 1.0501,                 0.8568,                0.69042,                0.78541,                0.66623,                0.85539,                0.68928,                0.77596,                0.63896,                0.66008,                 1.2467,                0.77562,                0.88551,               0.001802,               0.001802,               0.001802
                     12,                0.63075,                 1.2341,                0.63856,                 1.0549,                0.87461,                0.66192,                0.78231,                0.65836,                0.87179,                0.66249,                0.77642,                0.64133,                0.66484,                 1.1728,                 0.7268,                0.87138,              0.0017822,              0.0017822,              0.0017822
                     13,                0.61241,                 1.2225,                 0.6258,                  1.047,                0.88954,                0.67489,                0.78143,                0.65395,                0.87654,                0.68415,                0.77488,                0.62649,                 0.6632,                 1.2524,                0.73493,                0.89405,              0.0017624,              0.0017624,              0.0017624
                     14,                0.61877,                 1.2053,                0.62905,                 1.0456,                0.84469,                0.67446,                0.77173,                0.66617,                0.85976,                0.66876,                0.76298,                0.63274,                0.64988,                 1.2519,                0.79093,                 0.8798,              0.0017426,              0.0017426,              0.0017426
                     15,                  0.597,                  1.185,                0.60087,                 1.0418,                0.86392,                0.70696,                0.79406,                0.67481,                0.86559,                0.70696,                0.78693,                0.65544,                0.65818,                 1.1633,                0.75783,                0.88566,              0.0017228,              0.0017228,              0.0017228
                     16,                0.59927,                  1.178,                0.60922,                 1.0369,                0.87089,                0.67683,                0.78622,                0.66623,                0.86037,                0.67788,                 0.7782,                0.64221,                0.67402,                 1.1494,                0.78506,                0.88805,               0.001703,               0.001703,               0.001703
                     17,                0.58807,                 1.1459,                0.59649,                 1.0353,                0.88021,                0.68871,                0.80115,                0.68354,                0.87157,                0.69441,                0.79138,                0.65132,                0.61326,                 1.1535,                0.66841,                0.84867,              0.0016832,              0.0016832,              0.0016832
                     18,                0.58376,                 1.1695,                0.58916,                 1.0306,                0.88404,                0.71494,                0.80868,                0.69824,                0.88965,                 0.7138,                0.80135,                0.66504,                0.59106,                 1.1301,                0.65868,                0.82248,              0.0016634,              0.0016634,              0.0016634
                     19,                0.57232,                 1.0969,                0.57407,                 1.0225,                0.90551,                 0.6927,                0.81405,                0.69935,                0.90389,                0.69669,                0.80408,                0.66587,                0.60436,                 1.1095,                0.66129,                0.83796,              0.0016436,              0.0016436,              0.0016436
                     20,                0.57087,                 1.1341,                0.57329,                 1.0234,                0.87615,                0.70581,                0.81344,                0.69896,                0.88544,                0.69327,                0.80157,                0.66517,                 0.6068,                 1.0861,                0.66201,                0.84236,              0.0016238,              0.0016238,              0.0016238
                     21,                0.56215,                 1.1022,                0.56556,                 1.0213,                0.91917,                  0.687,                0.80726,                0.70366,                0.90466,                0.69245,                0.79775,                0.66519,                0.58114,                 1.1931,                0.68103,                0.80885,               0.001604,               0.001604,               0.001604
                     22,                0.56348,                   1.12,                0.56541,                 1.0204,                0.89721,                0.69175,                0.79798,                0.68702,                  0.898,                0.69265,                0.79152,                0.66182,                0.61104,                 1.1041,                 0.6964,                0.83984,              0.0015842,              0.0015842,              0.0015842
                     23,                0.56822,                 1.1269,                0.56752,                  1.019,                0.89489,                0.68301,                0.77461,                0.66152,                0.89004,                0.68295,                0.77004,                  0.637,                0.60461,                 1.1594,                0.82872,                0.84441,              0.0015644,              0.0015644,              0.0015644
                     24,                0.55865,                 1.1097,                0.55234,                 1.0166,                0.90676,                 0.6984,                0.80944,                0.69097,                0.91152,                0.69895,                0.80112,                0.66161,                0.60971,                 1.0513,                0.71149,                0.83875,              0.0015446,              0.0015446,              0.0015446
                     25,                 0.5512,                 1.0759,                0.54593,                 1.0086,                0.91229,                0.68192,                0.80566,                0.69722,                0.91305,                0.68249,                0.79963,                0.66998,                0.59678,                 1.0407,                0.67633,                0.82474,              0.0015248,              0.0015248,              0.0015248
                     26,                0.55198,                 1.0693,                0.55139,                 1.0125,                 0.8731,                0.72177,                0.82777,                0.71471,                0.87124,                0.72064,                0.82081,                 0.6813,                0.57519,                 1.0743,                0.62234,                0.81256,               0.001505,               0.001505,               0.001505
                     27,                0.53714,                 1.0518,                 0.5425,                 1.0035,                0.89486,                0.69897,                0.79909,                0.68986,                0.90992,                 0.6911,                0.79316,                0.65684,                0.62413,                 1.1178,                0.71321,                0.85532,              0.0014852,              0.0014852,              0.0014852
                     28,                 0.5508,                 1.0728,                0.54093,                 1.0139,                0.87537,                0.71278,                0.82705,                0.70332,                0.87745,                0.71494,                0.81836,                0.67117,                0.58691,                 1.0928,                 0.6437,                0.82133,              0.0014654,              0.0014654,              0.0014654
                     29,                0.53923,                 1.0911,                0.54287,                 1.0111,                0.88963,                0.71687,                0.82424,                0.71415,                0.89498,                0.71893,                0.82049,                0.68296,                0.59696,                 1.0702,                0.65996,                0.84057,              0.0014456,              0.0014456,              0.0014456
                     30,                0.53977,                 1.0412,                0.53989,                 1.0044,                0.90145,                0.70867,                0.82551,                0.70509,                0.90478,                0.70867,                0.82228,                0.68152,                0.58897,                 1.0031,                0.62659,                0.82811,              0.0014258,              0.0014258,              0.0014258
                     31,                0.53396,                 1.0328,                0.52983,                 1.0024,                0.91674,                0.72235,                0.83689,                 0.7274,                0.92315,                0.71893,                0.83083,                 0.6949,                0.58533,                 1.0264,                0.63102,                0.82328,               0.001406,               0.001406,               0.001406
                     32,                0.53129,                 1.0099,                0.53154,                  1.002,                0.87661,                0.72503,                  0.826,                0.72323,                0.87236,                0.72463,                0.81844,                0.69167,                 0.5337,                0.99114,                0.61699,                0.76378,              0.0013862,              0.0013862,              0.0013862
                     33,                0.52797,                 1.0008,                0.52226,                 0.9973,                0.88392,                0.72634,                0.83389,                0.72134,                0.88823,                0.72577,                0.82501,                0.68877,                0.55889,                0.99394,                0.64664,                0.80315,              0.0013664,              0.0013664,              0.0013664
                     34,                0.52139,                  1.009,                0.52251,                0.99349,                0.88215,                0.72977,                0.81899,                0.71691,                0.88537,                0.72219,                0.81149,                0.68421,                0.53481,                  1.018,                0.63161,                 0.7862,              0.0013466,              0.0013466,              0.0013466
                     35,                0.52023,                 1.0043,                0.51237,                 0.9997,                0.91153,                0.71074,                0.83459,                0.72309,                 0.9123,                0.71266,                0.82951,                0.68849,                0.57998,                 1.0368,                0.62022,                 0.8296,              0.0013268,              0.0013268,              0.0013268
                     36,                0.52209,                  1.007,                0.52078,                0.99654,                0.91772,                0.71038,                0.82344,                  0.718,                0.91698,                0.70981,                0.81518,                 0.6855,                0.54412,                0.99351,                0.59717,                0.79793,               0.001307,               0.001307,               0.001307
                     37,                 0.5274,                 1.0187,                0.51554,                 1.0015,                0.89735,                0.71665,                0.83632,                 0.7341,                0.88364,                0.72748,                0.82958,                0.69876,                  0.541,                0.99853,                0.59826,                0.79292,              0.0012872,              0.0012872,              0.0012872
                     38,                0.51623,                0.99974,                0.51471,                0.99405,                0.89304,                0.71551,                 0.8322,                0.72933,                0.89625,                0.71908,                0.82819,                0.69622,                0.53944,                0.99325,                0.60664,                 0.7829,              0.0012674,              0.0012674,              0.0012674
                     39,                0.51565,                 1.0051,                0.51124,                0.99654,                0.89919,                0.72349,                0.83919,                0.73075,                0.90669,                0.72748,                0.83615,                0.70073,                0.53746,                0.98785,                0.59964,                0.77804,              0.0012476,              0.0012476,              0.0012476
                     40,                0.51453,                 1.0276,                0.51227,                0.99537,                0.90876,                0.70417,                 0.8402,                0.73606,                0.91133,                0.70525,                0.83309,                0.70158,                0.54888,                0.97566,                0.58746,                0.80118,              0.0012278,              0.0012278,              0.0012278
                     41,                0.50152,                0.95295,                0.50147,                  0.987,                0.89872,                0.72406,                0.83963,                0.73337,                0.89992,                0.72281,                0.83543,                0.70308,                0.56114,                0.96342,                0.61952,                0.80551,               0.001208,               0.001208,               0.001208
                     42,                0.50837,                 1.0045,                0.50772,                0.99053,                0.90637,                0.71266,                0.84079,                0.73888,                0.91137,                0.71608,                0.83509,                0.70119,                0.52092,                0.96499,                0.59279,                0.77568,              0.0011882,              0.0011882,              0.0011882
                     43,                0.50786,                0.99729,                0.49839,                0.98901,                 0.8919,                0.72911,                0.83713,                0.73289,                0.88124,                0.73432,                0.83347,                0.69939,                0.55177,                0.97687,                0.64827,                 0.7936,              0.0011684,              0.0011684,              0.0011684
                     44,                0.49511,                0.93253,                0.49391,                0.98191,                0.88557,                0.73489,                 0.8414,                0.74175,                0.88695,                0.73603,                0.83461,                0.70414,                0.51684,                0.97602,                0.58464,                0.76563,              0.0011486,              0.0011486,              0.0011486
                     45,                0.49975,                0.96443,                0.48675,                0.98873,                0.89944,                 0.7241,                0.84369,                0.73799,                0.89956,                0.72805,                0.83819,                0.70267,                0.52665,                0.93788,                0.57231,                0.77367,              0.0011288,              0.0011288,              0.0011288
                     46,                0.49571,                0.95552,                0.49274,                0.98639,                0.90944,                0.71437,                0.84032,                0.73521,                 0.9138,                0.71779,                0.83458,                0.70263,                0.55474,                0.97385,                0.59331,                0.79717,               0.001109,               0.001109,               0.001109
                     47,                0.48898,                0.96347,                 0.4854,                0.98605,                0.90987,                0.71665,                0.84014,                0.73931,                0.91553,                 0.7138,                0.83579,                0.70827,                0.52343,                0.95148,                0.56814,                0.78379,              0.0010892,              0.0010892,              0.0010892
                     48,                0.49821,                0.95102,                0.49183,                0.98345,                0.91489,                0.71608,                0.84079,                0.73557,                0.91775,                0.71885,                0.83713,                0.69899,                0.53862,                0.96019,                0.59139,                0.77732,              0.0010694,              0.0010694,              0.0010694
                     49,                0.47886,                0.96025,                0.47122,                0.97558,                0.90299,                0.73375,                0.85133,                0.74487,                0.90121,                0.73336,                0.84631,                0.70855,                0.51733,                 0.9649,                0.56347,                0.78103,              0.0010496,              0.0010496,              0.0010496
                     50,                0.48045,                0.94791,                0.47991,                0.97724,                0.89261,                0.74401,                0.84761,                0.74957,                 0.8933,                0.74458,                0.84316,                  0.713,                0.51909,                0.96606,                 0.5673,                0.78426,              0.0010298,              0.0010298,              0.0010298
                     51,                0.48406,                0.91131,                0.48233,                0.97869,                0.89848,                0.73603,                0.84769,                0.74737,                0.89962,                0.73066,                0.83877,                0.70983,                0.51132,                0.95445,                0.56329,                0.76097,                0.00101,                0.00101,                0.00101
